time,mg/m3,lat,lon
2015-04-10 15:28:19 -0700,0.003,37.8033,-122.2946
2015-04-10 15:28:20 -0700,0.004,37.8033,-122.2946
2015-04-10 15:28:21 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:22 -0700,0.004,37.8033,-122.2946
2015-04-10 15:28:23 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:24 -0700,0.006,37.8033,-122.2946
2015-04-10 15:28:25 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:26 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:27 -0700,0.004,37.8033,-122.2946
2015-04-10 15:28:28 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:29 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:30 -0700,0.007,37.8033,-122.2946
2015-04-10 15:28:31 -0700,0.006,37.8033,-122.2946
2015-04-10 15:28:32 -0700,0.005,37.8033,-122.2946
2015-04-10 15:28:33 -0700,0.004,37.8033,-122.2946
2015-04-10 15:28:34 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:35 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:36 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:37 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:38 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:39 -0700,0.037,37.8032,-122.2946
2015-04-10 15:28:40 -0700,0.053,37.8032,-122.2946
2015-04-10 15:28:41 -0700,0.007,37.8032,-122.2946
2015-04-10 15:28:42 -0700,0.004,37.8032,-122.2946
2015-04-10 15:28:43 -0700,0.004,37.8032,-122.2946
2015-04-10 15:28:45 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:46 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:47 -0700,0.004,37.8032,-122.2946
2015-04-10 15:28:48 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:49 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:50 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:51 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:52 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:53 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:54 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:55 -0700,0.005,37.8032,-122.2946
2015-04-10 15:28:56 -0700,0.004,37.8032,-122.2946
2015-04-10 15:28:57 -0700,0.004,37.8032,-122.2946
2015-04-10 15:28:58 -0700,0.005,37.8032,-122.2946
2015-04-10 15:29:00 -0700,0.004,37.8032,-122.2946
2015-04-10 15:29:01 -0700,0.004,37.8032,-122.2946
