time,concentration,lat,lon
2015-03-21 14:42:34 -0700,0.016,37.803247,-122.294492
2015-03-21 14:42:35 -0700,0.016,37.803223,-122.294538
2015-03-21 14:42:36 -0700,0.016,37.80321,-122.294565
2015-03-21 14:42:37 -0700,0.017,37.803202,-122.294587
2015-03-21 14:42:38 -0700,0.017,37.803187,-122.294622
2015-03-21 14:42:39 -0700,0.016,37.803168,-122.294662
2015-03-21 14:42:40 -0700,0.016,37.803173,-122.29466
2015-03-21 14:42:41 -0700,0.016,37.803188,-122.294638
2015-03-21 14:42:42 -0700,0.017,37.80319,-122.294657
2015-03-21 14:42:43 -0700,0.017,37.8032,-122.294663
2015-03-21 14:42:44 -0700,0.017,37.803213,-122.294647
2015-03-21 14:42:45 -0700,0.017,37.803222,-122.294648
2015-03-21 14:42:46 -0700,0.016,37.803218,-122.29466
2015-03-21 14:42:47 -0700,0.016,37.803222,-122.294653
2015-03-21 14:42:48 -0700,0.016,37.803227,-122.294648
2015-03-21 14:42:49 -0700,0.016,37.803222,-122.294657
2015-03-21 14:42:50 -0700,0.015,37.803228,-122.294647
2015-03-21 14:42:51 -0700,0.016,37.803235,-122.294632
2015-03-21 14:42:52 -0700,0.017,37.803242,-122.294618
2015-03-21 14:42:53 -0700,0.017,37.803243,-122.294615
2015-03-21 14:42:54 -0700,0.017,37.80324,-122.29462
2015-03-21 14:42:55 -0700,0.015,37.803223,-122.294653
2015-03-21 14:42:56 -0700,0.015,37.803212,-122.29468
2015-03-21 14:42:57 -0700,0.016,37.803195,-122.294712
2015-03-21 14:42:58 -0700,0.017,37.803183,-122.294728
2015-03-21 14:42:59 -0700,0.017,37.80318,-122.294742
2015-03-21 14:43:00 -0700,0.017,37.803172,-122.294757
2015-03-21 14:43:01 -0700,0.016,37.803177,-122.29474
2015-03-21 14:43:02 -0700,0.015,37.803197,-122.2947
2015-03-21 14:43:03 -0700,0.017,37.803188,-122.294718
2015-03-21 14:43:04 -0700,0.017,37.803185,-122.294725
2015-03-21 14:43:05 -0700,0.017,37.803193,-122.294697
2015-03-21 14:43:06 -0700,0.016,37.8032,-122.294683
2015-03-21 14:43:07 -0700,0.015,37.803202,-122.294665
2015-03-21 14:43:08 -0700,0.016,37.803198,-122.294663
2015-03-21 14:43:09 -0700,0.017,37.803222,-122.294638
2015-03-21 14:43:10 -0700,0.017,37.803233,-122.29462
2015-03-21 14:43:11 -0700,0.017,37.803237,-122.294612
2015-03-21 14:43:12 -0700,0.016,37.803238,-122.294607
2015-03-21 14:43:13 -0700,0.017,37.803237,-122.294603
2015-03-21 14:43:14 -0700,0.018,37.80322,-122.294628
2015-03-21 14:43:15 -0700,0.016,37.803218,-122.29462
2015-03-21 14:43:16 -0700,0.017,37.803218,-122.294613
2015-03-21 14:43:17 -0700,0.017,37.803225,-122.294605
2015-03-21 14:43:18 -0700,0.016,37.803228,-122.294602
2015-03-21 14:43:19 -0700,0.016,37.803215,-122.29461
2015-03-21 14:43:20 -0700,0.016,37.8032,-122.294625
2015-03-21 14:43:21 -0700,0.017,37.803182,-122.294647
2015-03-21 14:43:22 -0700,0.016,37.803165,-122.294678
2015-03-21 14:43:23 -0700,0.016,37.803177,-122.29469
2015-03-21 14:43:24 -0700,0.016,37.803185,-122.294692
2015-03-21 14:43:25 -0700,0.016,37.803185,-122.294693
2015-03-21 14:43:26 -0700,0.016,37.803188,-122.294698
2015-03-21 14:43:27 -0700,0.017,37.803187,-122.2947
2015-03-21 14:43:28 -0700,0.017,37.803193,-122.294695
2015-03-21 14:43:29 -0700,0.018,37.803207,-122.294678
2015-03-21 14:43:30 -0700,0.018,37.803215,-122.294665
2015-03-21 14:43:31 -0700,0.015,37.803212,-122.294652
2015-03-21 14:43:32 -0700,0.016,37.803207,-122.294623
2015-03-21 14:43:33 -0700,0.016,37.803203,-122.2946
2015-03-21 14:43:34 -0700,0.015,37.8032,-122.294582
2015-03-21 14:43:35 -0700,0.016,37.803193,-122.294568
2015-03-21 14:43:36 -0700,0.015,37.80318,-122.294573
2015-03-21 14:43:37 -0700,0.015,37.803167,-122.294577
2015-03-21 14:43:38 -0700,0.015,37.803157,-122.294583
2015-03-21 14:43:39 -0700,0.015,37.803145,-122.294575
2015-03-21 14:43:40 -0700,0.014,37.803118,-122.29459
2015-03-21 14:43:41 -0700,0.015,37.803103,-122.294587
2015-03-21 14:43:42 -0700,0.015,37.803097,-122.294573
2015-03-21 14:43:43 -0700,0.016,37.803092,-122.29456
2015-03-21 14:43:44 -0700,0.016,37.803092,-122.294535
2015-03-21 14:43:45 -0700,0.015,37.803092,-122.294525
2015-03-21 14:43:46 -0700,0.016,37.803088,-122.294517
2015-03-21 14:43:47 -0700,0.016,37.803087,-122.294515
2015-03-21 14:43:48 -0700,0.017,37.803082,-122.29452
2015-03-21 14:43:49 -0700,0.018,37.803077,-122.294527
2015-03-21 14:43:50 -0700,0.016,37.803075,-122.294535
2015-03-21 14:43:51 -0700,0.015,37.803072,-122.294543
2015-03-21 14:43:52 -0700,0.015,37.803063,-122.294548
2015-03-21 14:43:53 -0700,0.015,37.803055,-122.294552
2015-03-21 14:43:54 -0700,0.016,37.803043,-122.294558
2015-03-21 14:43:55 -0700,0.016,37.803028,-122.294568
2015-03-21 14:43:56 -0700,0.016,37.80301,-122.294575
2015-03-21 14:43:57 -0700,0.016,37.802993,-122.294585
2015-03-21 14:43:58 -0700,0.016,37.80298,-122.294597
2015-03-21 14:43:59 -0700,0.016,37.802967,-122.2946
2015-03-21 14:44:00 -0700,0.016,37.80295,-122.294603
2015-03-21 14:44:01 -0700,0.017,37.802933,-122.29461
2015-03-21 14:44:02 -0700,0.016,37.802915,-122.294613
2015-03-21 14:44:03 -0700,0.015,37.8029,-122.294618
2015-03-21 14:44:04 -0700,0.017,37.802883,-122.294623
2015-03-21 14:44:05 -0700,0.017,37.802872,-122.294627
2015-03-21 14:44:06 -0700,0.015,37.802863,-122.29463
2015-03-21 14:44:07 -0700,0.015,37.802858,-122.294632
2015-03-21 14:44:08 -0700,0.015,37.802857,-122.294618
2015-03-21 14:44:09 -0700,0.017,37.802865,-122.294588
2015-03-21 14:44:10 -0700,0.016,37.802858,-122.294578
2015-03-21 14:44:11 -0700,0.015,37.80284,-122.294598
2015-03-21 14:44:12 -0700,0.015,37.802842,-122.29459
2015-03-21 14:44:13 -0700,0.016,37.802832,-122.294595
2015-03-21 14:44:14 -0700,0.017,37.802828,-122.294585
2015-03-21 14:44:15 -0700,0.017,37.802827,-122.29458
2015-03-21 14:44:16 -0700,0.016,37.802832,-122.294575
2015-03-21 14:44:17 -0700,0.017,37.802832,-122.294575
2015-03-21 14:44:18 -0700,0.016,37.802827,-122.294573
2015-03-21 14:44:19 -0700,0.015,37.802823,-122.294572
2015-03-21 14:44:20 -0700,0.015,37.802822,-122.294567
